session_id,user_id,session_start,session_end,day_since_install
1,1,2024-02-21 19:44:00,2024-02-21 20:22:00,0
2,1,2024-02-21 19:06:00,2024-02-21 19:43:00,0
3,2,2024-03-12 19:11:00,2024-03-12 19:20:00,0
4,3,2024-03-23 00:15:00,2024-03-23 00:49:00,0
5,4,2024-03-15 15:19:00,2024-03-15 15:52:00,0
6,5,2024-01-24 04:12:00,2024-01-24 04:19:00,0
7,6,2024-02-22 16:17:00,2024-02-22 16:39:00,0
8,6,2024-02-22 22:39:00,2024-02-22 23:33:00,0
9,6,2024-02-22 08:28:00,2024-02-22 09:23:00,0
10,6,2024-02-23 16:56:00,2024-02-23 17:45:00,1
11,6,2024-02-23 10:47:00,2024-02-23 11:43:00,1
12,7,2024-01-30 19:15:00,2024-01-30 19:53:00,0
13,7,2024-01-30 13:25:00,2024-01-30 13:49:00,0
14,7,2024-01-30 09:50:00,2024-01-30 10:18:00,0
15,8,2024-03-04 18:19:00,2024-03-04 19:05:00,0
16,8,2024-03-05 02:02:00,2024-03-05 02:46:00,1
17,8,2024-03-05 05:51:00,2024-03-05 05:56:00,1
18,8,2024-03-06 01:50:00,2024-03-06 02:01:00,2
19,8,2024-03-06 10:10:00,2024-03-06 10:50:00,2
20,8,2024-03-07 04:23:00,2024-03-07 04:57:00,3
21,8,2024-03-07 06:56:00,2024-03-07 07:48:00,3
22,8,2024-03-07 14:36:00,2024-03-07 15:13:00,3
23,9,2024-02-02 20:36:00,2024-02-02 21:34:00,0
24,9,2024-02-02 05:34:00,2024-02-02 06:16:00,0
25,10,2024-01-22 20:02:00,2024-01-22 20:55:00,0
26,10,2024-01-22 20:37:00,2024-01-22 21:19:00,0
27,10,2024-01-22 21:18:00,2024-01-22 21:53:00,0
28,10,2024-01-23 01:39:00,2024-01-23 02:22:00,1
29,10,2024-01-23 07:44:00,2024-01-23 08:42:00,1
30,10,2024-01-23 14:11:00,2024-01-23 15:02:00,1
31,11,2024-03-29 19:09:00,2024-03-29 19:32:00,0
32,12,2024-02-28 01:37:00,2024-02-28 02:13:00,0
33,12,2024-02-28 02:50:00,2024-02-28 03:31:00,0
34,12,2024-02-29 09:32:00,2024-02-29 10:19:00,1
35,12,2024-02-29 22:06:00,2024-02-29 22:16:00,1
36,12,2024-02-29 05:12:00,2024-02-29 06:04:00,1
37,13,2024-02-29 18:49:00,2024-02-29 19:31:00,0
38,14,2024-03-02 21:14:00,2024-03-02 21:24:00,0
39,14,2024-03-02 02:10:00,2024-03-02 02:22:00,0
40,14,2024-03-02 21:49:00,2024-03-02 22:42:00,0
41,14,2024-03-03 16:58:00,2024-03-03 17:38:00,1
42,15,2024-03-02 15:05:00,2024-03-02 15:23:00,0
43,16,2024-02-24 17:49:00,2024-02-24 18:06:00,0
44,16,2024-02-24 17:16:00,2024-02-24 18:05:00,0
45,16,2024-02-24 11:34:00,2024-02-24 12:00:00,0
46,16,2024-02-25 04:20:00,2024-02-25 04:25:00,1
47,16,2024-02-25 03:31:00,2024-02-25 03:36:00,1
48,17,2024-01-03 06:54:00,2024-01-03 07:49:00,0
49,17,2024-01-03 22:02:00,2024-01-03 22:56:00,0
50,17,2024-01-03 03:25:00,2024-01-03 03:32:00,0
51,17,2024-01-04 05:46:00,2024-01-04 06:20:00,1
52,18,2024-01-07 09:38:00,2024-01-07 09:53:00,0
53,18,2024-01-07 14:01:00,2024-01-07 14:42:00,0
54,18,2024-01-07 10:31:00,2024-01-07 11:15:00,0
55,19,2024-02-08 00:50:00,2024-02-08 01:10:00,0
56,19,2024-02-08 18:12:00,2024-02-08 19:11:00,0
57,19,2024-02-08 21:22:00,2024-02-08 22:02:00,0
58,20,2024-03-29 12:29:00,2024-03-29 13:19:00,0
59,20,2024-03-30 02:01:00,2024-03-30 02:35:00,1
60,20,2024-03-30 18:38:00,2024-03-30 19:19:00,1
61,20,2024-03-31 01:54:00,2024-03-31 02:20:00,2
62,20,2024-04-01 21:01:00,2024-04-01 21:37:00,3
63,20,2024-04-01 10:52:00,2024-04-01 10:59:00,3
64,20,2024-04-01 08:07:00,2024-04-01 08:37:00,3
65,21,2024-01-09 14:03:00,2024-01-09 14:11:00,0
66,22,2024-01-02 14:02:00,2024-01-02 14:45:00,0
67,22,2024-01-02 06:16:00,2024-01-02 06:42:00,0
68,22,2024-01-02 19:26:00,2024-01-02 19:46:00,0
69,22,2024-01-03 19:46:00,2024-01-03 20:23:00,1
70,22,2024-01-03 09:01:00,2024-01-03 09:44:00,1
71,22,2024-01-03 13:47:00,2024-01-03 14:18:00,1
72,22,2024-01-04 12:56:00,2024-01-04 13:42:00,2
73,22,2024-01-04 08:40:00,2024-01-04 08:50:00,2
74,22,2024-01-04 23:56:00,2024-01-05 00:12:00,2
75,23,2024-02-29 13:26:00,2024-02-29 13:50:00,0
76,23,2024-02-29 06:39:00,2024-02-29 07:23:00,0
77,24,2024-01-08 17:17:00,2024-01-08 17:39:00,0
78,24,2024-01-08 15:51:00,2024-01-08 16:00:00,0
79,25,2024-03-18 09:16:00,2024-03-18 09:33:00,0
80,25,2024-03-18 16:49:00,2024-03-18 17:06:00,0
81,25,2024-03-18 16:59:00,2024-03-18 17:18:00,0
82,26,2024-02-19 10:34:00,2024-02-19 11:00:00,0
83,27,2024-01-02 05:36:00,2024-01-02 05:47:00,0
84,28,2024-02-23 00:22:00,2024-02-23 00:51:00,0
85,28,2024-02-23 17:43:00,2024-02-23 17:54:00,0
86,29,2024-02-23 10:04:00,2024-02-23 10:42:00,0
87,29,2024-02-23 07:13:00,2024-02-23 07:57:00,0
88,30,2024-01-18 07:10:00,2024-01-18 08:04:00,0
89,30,2024-01-19 15:36:00,2024-01-19 15:56:00,1
90,30,2024-01-19 23:43:00,2024-01-20 00:18:00,1
91,30,2024-01-19 05:29:00,2024-01-19 06:10:00,1
92,30,2024-01-20 13:56:00,2024-01-20 14:21:00,2
93,30,2024-01-20 02:37:00,2024-01-20 02:46:00,2
94,30,2024-01-21 11:04:00,2024-01-21 11:17:00,3
95,30,2024-01-21 11:51:00,2024-01-21 12:04:00,3
96,31,2024-02-03 13:38:00,2024-02-03 14:18:00,0
97,31,2024-02-03 04:51:00,2024-02-03 05:43:00,0
98,32,2024-01-14 04:47:00,2024-01-14 05:23:00,0
99,32,2024-01-14 10:16:00,2024-01-14 10:25:00,0
100,32,2024-01-15 00:29:00,2024-01-15 00:54:00,1
101,32,2024-01-16 02:59:00,2024-01-16 03:32:00,2
102,32,2024-01-16 01:28:00,2024-01-16 02:21:00,2
103,32,2024-01-16 03:33:00,2024-01-16 04:14:00,2
104,32,2024-01-17 00:58:00,2024-01-17 01:06:00,3
105,32,2024-01-17 06:13:00,2024-01-17 07:03:00,3
106,33,2024-01-15 15:21:00,2024-01-15 16:15:00,0
107,33,2024-01-15 15:27:00,2024-01-15 15:59:00,0
108,33,2024-01-16 09:01:00,2024-01-16 09:12:00,1
109,33,2024-01-16 20:16:00,2024-01-16 20:55:00,1
110,34,2024-03-27 18:11:00,2024-03-27 18:24:00,0
111,35,2024-03-02 20:47:00,2024-03-02 21:13:00,0
112,35,2024-03-02 16:01:00,2024-03-02 16:22:00,0
113,35,2024-03-02 18:39:00,2024-03-02 19:07:00,0
114,35,2024-03-03 22:49:00,2024-03-03 23:27:00,1
115,36,2024-03-20 02:24:00,2024-03-20 02:56:00,0
116,36,2024-03-20 11:25:00,2024-03-20 12:17:00,0
117,36,2024-03-20 11:07:00,2024-03-20 11:16:00,0
118,36,2024-03-21 22:40:00,2024-03-21 23:28:00,1
119,36,2024-03-21 05:18:00,2024-03-21 06:10:00,1
120,36,2024-03-21 20:54:00,2024-03-21 21:30:00,1
121,37,2024-02-22 17:11:00,2024-02-22 18:06:00,0
122,37,2024-02-22 07:32:00,2024-02-22 08:22:00,0
123,37,2024-02-23 01:08:00,2024-02-23 01:56:00,1
124,37,2024-02-23 04:33:00,2024-02-23 04:56:00,1
125,38,2024-03-29 13:26:00,2024-03-29 14:13:00,0
126,38,2024-03-29 19:05:00,2024-03-29 19:17:00,0
127,38,2024-03-29 18:31:00,2024-03-29 18:54:00,0
128,39,2024-02-10 11:40:00,2024-02-10 12:07:00,0
129,39,2024-02-10 23:47:00,2024-02-11 00:09:00,0
130,40,2024-02-14 21:38:00,2024-02-14 22:15:00,0
131,40,2024-02-14 23:54:00,2024-02-15 00:18:00,0
132,40,2024-02-14 00:30:00,2024-02-14 01:14:00,0
