user_id,install_date,country,platform,acquisition_channel,device_tier,archetype
1,2024-02-21,US,iOS,Google Ads,low,dolphin
2,2024-03-12,IN,iOS,Organic,high,non_spender
3,2024-03-23,AU,iOS,TikTok,low,non_spender
4,2024-03-15,US,iOS,Facebook Ads,low,minnow
5,2024-01-24,AU,iOS,Facebook Ads,high,minnow
6,2024-02-22,AU,Android,Facebook Ads,mid,dolphin
7,2024-01-30,AU,Android,Organic,low,non_spender
8,2024-03-04,CA,Android,Google Ads,low,whale
9,2024-02-02,IN,Android,Organic,low,non_spender
10,2024-01-22,CA,iOS,Google Ads,mid,non_spender
11,2024-03-29,AU,Android,Organic,high,non_spender
12,2024-02-28,CA,iOS,TikTok,low,non_spender
13,2024-02-29,AU,Android,Google Ads,high,non_spender
14,2024-03-02,IN,iOS,Organic,high,non_spender
15,2024-03-02,IN,Android,Organic,low,non_spender
16,2024-02-24,US,Android,Google Ads,mid,whale
17,2024-01-03,UK,iOS,Google Ads,mid,minnow
18,2024-01-07,IN,Android,Organic,high,non_spender
19,2024-02-08,IN,iOS,Facebook Ads,mid,non_spender
20,2024-03-29,CA,Android,Facebook Ads,high,dolphin
21,2024-01-09,UK,iOS,Facebook Ads,low,non_spender
22,2024-01-02,UK,Android,Google Ads,low,minnow
23,2024-02-29,IN,Android,Facebook Ads,high,non_spender
24,2024-01-08,CA,Android,TikTok,low,non_spender
25,2024-03-18,UK,iOS,Facebook Ads,high,non_spender
26,2024-02-19,AU,Android,TikTok,high,minnow
27,2024-01-02,CA,Android,Facebook Ads,low,non_spender
28,2024-02-23,AU,Android,Organic,low,non_spender
29,2024-02-23,US,iOS,Facebook Ads,high,non_spender
30,2024-01-18,CA,iOS,TikTok,mid,minnow
31,2024-02-03,AU,Android,Google Ads,high,non_spender
32,2024-01-14,US,iOS,Google Ads,high,minnow
33,2024-01-15,UK,iOS,Google Ads,mid,non_spender
34,2024-03-27,IN,Android,Organic,high,non_spender
35,2024-03-02,UK,iOS,Organic,high,non_spender
36,2024-03-20,UK,iOS,Facebook Ads,mid,minnow
37,2024-02-22,IN,iOS,Google Ads,mid,non_spender
38,2024-03-29,US,iOS,Google Ads,mid,non_spender
39,2024-02-10,IN,iOS,Facebook Ads,high,non_spender
40,2024-02-14,US,iOS,TikTok,low,non_spender
